model_name,input_column,dropout_rate,random_seed,batch_size,epochs,lr,max_len,threshold,patience,hidden_size,use_bilstm,binary_acc,precision,recall,f1_score,hamming_loss,model_path,timestamp
BiLSTM,synopsis,0.3,42,8,10,0.001,128,0.5,3,128,True,0.8637,0.4983,0.2919,0.3681,0.1363,../../checkpoint/best_model_bilstm_synopsis_b8e10_lr0001.pt,2025-05-22 17:27:14
microsoft-deberta-v3-base,synopsis,0.3,42,8,10,2e-05,512,0.5,3,null,null,0.9105,0.7015,0.5957,0.6443,0.0895,../../checkpoint/best_model_deberta_synopsis_b8e10_lr2e-05.pt,2025-05-22 17:54:39
roberta-base,synopsis,0.3,42,8,10,2e-05,512,0.5,3,null,null,0.9069,0.6800,0.5966,0.6356,0.0931,/root/MovieClassification/checkpoint/best_model_roberta-base_synopsis_b8e10_lr2e-05.pt,2025-05-22 18:16:47
roberta-base,summaries,0.3,42,8,10,2e-05,512,0.5,3,null,null,0.9202,0.7162,0.6841,0.6998,0.0798,/root/MovieClassification/checkpoint/best_model_roberta-base_summaries_b8e10_lr2e-05.pt,2025-05-22 18:43:30
microsoft-deberta-v3-base,summaries,0.3,42,8,10,2e-05,512,0.5,3,null,null,0.9215,0.7357,0.6601,0.6959,0.0785,../../checkpoint/best_model_deberta_summaries_b8e10_lr2e-05.pt,2025-05-22 19:04:31
BiLSTM,summaries,0.3,42,8,10,0.001,128,0.5,3,128,True,0.8742,0.5611,0.3443,0.4267,0.1258,../../checkpoint/best_model_bilstm_summaries_b8e10_lr0001.pt,2025-05-22 19:11:26
BiLSTM,summaries,0.3,42,8,10,0.001,128,0.5,3,128,True,0.8742,0.5611,0.3443,0.4267,0.1258,../../checkpoint/best_model_bilstm_summaries_b8e10_lr0001.pt,2025-05-22 19:13:05
BiLSTM,title,0.3,42,8,10,0.001,128,0.5,3,128,True,0.8638,0.4978,0.1355,0.2131,0.1362,../../checkpoint/best_model_bilstm_title_b8e10_lr0001.pt,2025-05-22 19:14:21
microsoft-deberta-v3-base,title,0.3,42,8,10,2e-05,512,0.5,3,null,null,0.8843,0.5900,0.4912,0.5361,0.1157,../../checkpoint/best_model_--models-microsoft-deberta-v3-base-local_title_b8e10_lr2e-05.pt,2025-05-22 19:22:52
roberta-base,title,0.3,42,8,10,2e-05,512,0.5,3,null,null,0.8807,0.5794,0.4496,0.5063,0.1193,/root/MovieClassification/checkpoint/best_model_roberta-base_title_b8e10_lr2e-05.pt,2025-05-22 19:27:48
microsoft-deberta-v3-base,summaries,0.3,42,10,10,2e-05,512,0.5,3,null,null,0.9198,0.7349,0.6426,0.6856,0.0802,../../checkpoint/best_model_deberta_summaries_b10e10_lr2e-05.pt,2025-05-23 15:32:11
microsoft-deberta-v3-base,summaries,0.3,42,7,10,2e-05,512,0.5,3,null,null,0.9193,0.7181,0.6695,0.6929,0.0807,../../checkpoint/best_model_deberta_summaries_b7e10_lr2e-05.pt,2025-05-23 15:42:41
